id	rmks
20220729007729A	ON JULY 29, 2022, ABOUT 1404 EASTERN DAYLIGHT TIME, A CASA 212-200, N497CA, WAS SUBSTANTIALLY DAMAGED WHEN IT WAS I
20220731007659A	THIS AIRCRAFT WAS PERFORMING AGRICULTURAL SPRAYING OPERATIONS OVER CROPS IN AN OPEN FIELD. THE PILOT STATED THAT HE
20200515000919A	AIRCRAFT GROUND LOOPED AFTER TOUCHDOWN.
20220725007809A	THE PILOT WAS ON HIS FOURTH PASS THAT MORNING SPRAYING A FIELD OF CORN. AS HE DROPPED IN OVER TOP OF A TREE GROVE T
20200316000739A	CONTROL OF AIRCRAFT WAS LOST ON APPROACH TO LANDING. PILOTS STATED THEY FELT LIKE SOMETHING BROKE AND CAUSED AIRCRA
20200417002709I	FIRST FLIGHT AFTER AN EXTENDED MAINTENANCE EVOLUTION THE PILOT WAS COMING INTO LAND ON RUNWAY 22 AT PUNTA GORDA, FL
20200222002359A	THE PILOT WAS PLANNING A TOUCH & GO AND WAS CONFIGURED FOR A THREE POINT LANDING. THE TAIL WHEEL CONTACTED THE RUNW
20200409003899A	DURING NIGHT TRAINING FLIGHT STUDENT AND CFI LEFT HOME BASE MYR FOR TOUCH AND GO LRO AND RETURN.  TOUCH AND GO RWY 
20200214004389I	SPOKE WITH BOTH CFI CANDIDATE AND THE CFI. BOTH SAID THIS WAS THE 3RD LANDING, PRACTICING THE POWER OFF 180 LANDING
20200628005919I	ON 06/28/2020, AT APPROXIMATELY 12:30 P.M. EDT THE PILOT STATED HE MADE HIS FIRST TAKEOFF OF THE DAY AND THE DOOR O
20200613006079A	THE AIRCRAFT WAS FLYING FROM SPRING, TX TO DERIDDER, LA. THE PILOT NOTICED THE ENGINE DID NOT SOUND NORMAL. AS THE 
20200623006289A	AIRCRAFT WAS WESTBOUND SOUTH OF RATHDRUM, ID AT A LOW ALTITUDE. WHILE JUST NORTH OF WYOMING AVENUE AND CROSSING OVE
20220717007849I	THE CAPTAIN REPORTED THE FOLLOWING:  "ON FINAL APPROACH TO 17L IN SANTIAGO, OUT OF 5000 FEET AND CLEARED FOR THE AP
20200510007449I	DURING ROLLOUT, THE PILOT APPLIED BRAKES AND THE RIGHT MAIN LANDING GEAR COLLAPSED.  THE AIRCRAFT RIGHT WING CONTAC
20200305009929A	DURING AIR TOUR OPERATION, AIRCRAFT DEVELOPED A VIBRATION, NOISE, AND AN\nINTERMITTENT TAIL ROTOR GEARBOX CHIP LIGHT
20200718010809I	ON 07/18/2020 A CIRRUS SR-22, N324BR WAS CLEARED TO LAND ON RUNWAY 31 AT ATLANTIC CITY INTERNATIONAL AIRPORT (ACY).
20200617011219A	ON JULY 17, 2020 AT APPRX 1800 HRS LOCAL AN AT-402, N1532H, SN 402-0852 WAS CONDUCTING AERIAL APPLICATION OPERATION
20220706007769I	DURING CLIMB TO CRUISE ALTITUDE, AROUND 38,000', THE CREW HEARD A LOUD CRACK. THEY DETERMINED THAT THE #3 WINDOW ON
20200726011309I	PILOT STATED HE WAS PERFORMING TOUCH AND GO LANDINGS WHEN ON THE THIRD LANDING HE DID NOT GET A GREEN LIGHT SHOWING
20200919012319A	ON SEPTEMBER 19, 2020, APPROXIMATELY 0638 EASTERN DAYLIGHT TIME, AN EXPERIMENTAL, AMATEUR-BUILT VANS RV9A\nAIRPLANE,
20200811012699A	ON 8/11/2020 AT APPROXIMATELY 1325Z N615MW, WITH TWO SOULS ON BOARD, WAS ATTEMPTING TO TAKEOFF FROM RUNWAY 04 AT M9
20200823014059I	ON AUGUST 23, 2020 AT 1340 LOCAL TIME, A CESSNA 210 K AIRCRAFT, N8219M, REGISTERED TO A LLC AND OPERATED BY A AIRLI
20220816007829A	2022-08-16 N641RZ ROBINSON R66 MILLVILLE MN ^PRIVACY DATA OMITTED^ PART 137 AGRICULTURAL APPLICATION STRUCK POWER L
20201119014939I	CLIMBING THROUGH 11,000 FEET, PILOT NOTICED REDUCTION IN ENGINE OIL PSI FOLLOWED BY COMPLETE LOSS OF POWER.  AIRCRA
20201024015279A	ON 10-24-2020 THIS AIRCRAFT WAS AT FLIGHT LEVEL 7700 AND DISAPPEARED FROM ATC RADAR. THERE WAS NO MAYDAY FROM THE P
20210130000409I	ON 01/30/2021, RICHARD RANDOLPH ("RAN") POWERS, JR WAS ACTING AS THE PIC OF N162HG WHEN HE STATED HE LOST POWER AND
20210213001159I	WHILE CONDUCTING AN INSTRUCTIONAL FLIGHT ADMINISTERING A FLIGHT REVIEW TO A NEW AIRCRAFT OWNER IN HIS CE-180, THEY 
20201004019699A	FLIGHT ORIGINATED OUT OF GRAND JUNCTION. DESTINATION APPEARS TO HAVE BEEN DELTA, CO. THE AIRCRAFT LOST POWER OVER C
20201005020599A	ON OCTOBER 5, 2020. A BELLANCA SV 1730-A, N7333V, DEPARTED TEMPLE TEXAS\nIN ROUTE TO MIDLAND TEXAS. AT APPROXIMATELY
20200902020769I	ON SEPTEMBER 2, 2020 DC-9 SN 47384 REGISTRATION XA-UZJ ABORTED A TAKEOFF FROM YIP AIRPORT.  THE AIRCRAFT DRIFTED TO
20220706007819A	2022-07-06 N64272 CRASHED IN POTATO FIELD WHILE PERFORMING 137 AGRICULTURAL APPLICATION.\r\n\r\nPIC HAD BEEN SPRAYING A
20210501004899I	PIC ^PRIVACY DATA OMITTED^ REPORTED THAT AFTER LEVELING OFF AT FLIGHT LEVEL 270 THE PILOT SIDE WINDSHIELD SHATTERED
20210502006199I	THE PILOT WAS BEING CHECKED OUT IN AIRCRAFT TYPE BY THE SECOND PILOT. LANDING AT BWI WITH A CROSSWIND HE HAD SIGNIF
20210228008799I	RECEIVED NOTIFICATION OF UAS SIGHTING FROM A PILOT OF A PA34 AIRCRAFT ON APPROACH TO ST. LOUIS DOWNTOWN AIRPORT (CP
20210511008929I	^PRIVACY DATA OMITTED^ WAS THE PILOT IN COMMAND OF N83JJ ON A PART 91 FLIGHT FROM WILLARD AIRPORT, CHAMPAIGN, ILLIN
20210814011549I	ATC REPORTED TO FSDO: LAS VEGAS, NV (LAS): OKC436, BE40, PRIVATE JETS 436, AUS - RNO, DIVERTED TO LAS AFTER DECLARI
20210703012499A	THE PILOT AND ONE PASSENGER DEPARTED HNH FOR A LOCAL FLIGHT. THE PILOT STATED THAT VMC PREVAILED AND THE WINDS WERE
20210522013229I	DURING LANDING ON RUNWAY 17, NOSE LANDING GEAR COLLAPSED UPON CONTACT WITH GROUND. THE PROPELLER AND FUSELAGE IMPAC
20211114019529A	ON NOVEMBER 14, 2021, AT APPROXIMATELY 1442 PST, THE LAS FSDO RECEIVED NOTIFICATION FROM THE WESTERN PACIFIC?S REGI
20220527007839I	STUDENT PILOT ATTEMPTED TO TURN OFF RUNWAY 35R ON THE TAXIWAY C2.  PILOT TURNED PRIOR TO THE TAXIWAY INTERSECTION A
20211230021509I	ON DECEMBER 30, 2021, AT 1715 CDT, A CESSNA 210N BEARING REGISTRATION NUMBER N6535Y. ON FINAL APPROACH TO SJT (SAN 
20211229021149A	FAA CERTIFICATED^PRIVACY DATA OMITTED^ PART 135 OPERATOR( EXEC AIR, INC OF NAPLES) OPERATING CESSNA CE-207, REGISTR
20220106000339I	WHILE ENROUTE FROM KPBI TO KOCF IN CLASS B AIRSPACE, PILOT EXPERIENCED ELECTRICAL FAILURES, RESULTING IN LOSS OF IN
20220208000889A	THIS AIRCRAFT WAS ON APPROACH TO RUNWAY 2 AT MO06 WHEN THE PILOT DECIDED TO INITIATE A GO-AROUND DUE TO LENGTH OF T
20220718007789A	AT APPROXIMATELY 1900 LOCAL TIME (0000Z) ON JULY 18, 2022, A BELL 206B HELICOPTER, SERIAL NUMBER 4034, ^PRIVACY DAT
20220302003649A	THE PILOT STATED WHILE FLYING HIS ULTRALIGHT HE BEGAN TO APPROACH A SET OF POWER LINES. THE THROTTLE DID NOT RESPON
20220608005049A	AIRCRAFT DEPARTED HOMER, AK @ APPROXIMATELY 1000 HRS, 1 PILOT AND 4 PASSENGERS ON BOARD, FOLLOWING 3 OTHER COMPANY 
20220420005649I	DURING LEVEL FLIGHT WHILE ON PIPELINE PATROL, THE AIRCRAFT STRUCK A LARGE BIRD WITH THE LEFT WING, JUST INBOARD OF 
20220506006449A	BEFORE FLIGHT FROM HOU, THE PILOT REQUESTED FUEL FROM A HOU FBO. TAXI AND ENGINE RUNUP WAS NORMAL. DURING ROTATION 
20220509006749I	PILOT WAS PRACTICING TOUCH AND GO LANDINGS AND UPON THE 5TH LANDING THE AIRCRAFT VEERED RIGHT. PILOT ATTEMPTED TO C
20220624007879A	A 14 CFR 141 FLIGHT SCHOOL WAS THE OPERATOR OF THE AIRCRAFT. THE 141 SCHOOLS DIRECTOR OF AVIATION AND CHIEF FLIGHT 
20220802007959A	AN AIR TRACTOR, MODEL AT-502, DEPARTED FROM A PRIVATE GRASS STRIP NEAR CHENEYVILLE, LA TO CONDUCT A 14 CFR PART 137
20220729007899A	AIRCRAFT WAS ON A 1 MILE FINAL FOR A HOSPITAL HELIPAD WHEN THE AIRCRAFT BEGAN A SLOWTURN TO THE LEFT.  CREW MEMBER 
20220803007949A	MAKING FOURTH PASS APPLYING INSECTICIDE TO SOYBEAD FIELD. HEARD LOUD BANG, WHEN AIRCRAFT CAME TO A STOP. EXITED THE
20220528007919A	AFTER AN UNEVENTFUL BANNER DROP, PILOT WAS ATTEMPTING TO PICK UP SECOND BANNER. THE BANNER LINE WAS CAUGHT, AND PLA
20220728007929I	ON THE MORFING OF JULY 28, 2022 AT NORTH PERRY AIRPORT (KHWO), A STUDENT PILOT LANDED ON RUNWAY 10R AND ON ROLLOUT 
20220725007889A	ON JULY 25, 2022, THE INSTRUCTOR AND STUDENT WERE PRACTICING AUTOROTATIONS WEST OF CEDAR CITY AIRPORT (CDC) IN PREP
20220727008039A	ON JULY 28, 2022 PIPER N41757 LOSS CONTROL DURING LANDING RUNWAY 28L AT KMYF AND STRUCK THE GROUND WITH THE LEFT WI
20220816008099I	AT 1300 LOCAL TIME ON 08/16/2022, N642QS WAS LANDING RWY 1R AT IAD WHEN IT SUFFERED A BIRD STRIKE TO THE INBOARD AN
20220526008019I	ON MAY 26, 2022, 1320 CDT, AIRCRAFT N42693, A 1968 CESSNA MODEL 182L PERFORMED A TAKEOFF ABORT AT NEW BRAUNFELS NAT
20220815008049A	DURING A LOW LEVEL MANEUVER WHILE ROUNDING UP A HERD OF HORSES TAIL ROTOR STRUCK THE GROUND.
20220624008069I	FRIDAY, JUNE 24, 2022, AT APPROXIMATELY 2103 HRS. HAWAII STANDARD TIME (HST), A 1988 GULFSTREAM AEROSPACE MODEL G-I
20220726008082A	AIRCRAFT "A" WAS TRANSITIONING SOUTHEAST, AFTER SPRAYING A FIELD NORTHWEST OF ACCIDENT SIGHT, TO HOME BASE. AIRCRAF
20220521008129I	ON MAY 21, 2022 AT APPROXIMATELY 16:30 LOCAL TIME, ^PRIVACY DATA OMITTED^, AN AVIAT A-1B HUSKY, RECEIVED MINOR DAMA
20220415008119A	PILOT WAS APPROACHING E-95 AT ABOUT 0530 ON 04/15/2022, MADE USUAL RADIO CALLS AND POWER SETTINGS AT 14 INCHES MANI
20220515008209I	ON MAY 15,2022 A PA-28 N33371  STRUCK A CANADIAN GOOSE  IN CRUISE FLIGHT AT 2000 FEET ABOUT HALFWAY BETWEEN SFM AND
20220521008179I	ON MAY 21, 2022, AT APPROXIMATELY 1030 EDT N123SQ A 2011 WILDERNESS FLYER LLC, AIRCRAFT MODEL SQ3, SERIAL NO.TCQ090
20220522008139A	ON MAY 22, 2022, ORION MAGNI 24 GYROPLANE N590DM DEPARTED CAPE GIRARDEAU REGIONAL AIRPORT FROM RUNWAY 02 TO THE NOR
20220822008369A	TURBULENCE EVENT WITH ONE SERIOUS FLIGHT ATTENDANT INJURY.  NEW YORK, JOHN F KENNEDY AIRPORT (KJFK) TO RAFAEL NUNEZ
20220918008319A	On 18 September 2022 about 1830 Local time, the pilot attempted a departure from a small lake at N57.52.20, W155.49
20220526008249A	ON MAY 26TH 2022 AT APPROXIMATELY 14:50 LOCAL TIME N4978B DEPARTED RUNWAY 22R PILOTED BY STUDENT PILOT^PRIVACY DATA
20221010008339I	Interviewed Captain and First Officer  . Crew reported a deer came from the right side of the runway directly in th
20220523008289I	PILOT CHECKED ATIS AND DETERMINED WIND SPEED AND DIRECTION BEFORE LANDING. UPON LANDING PILOT EXPERIENCED A STRONG 
20220918008359I	At approximately 1604 EDT, ^PRIVACY DATA OMITTED^, an Airbus 320, N527J, who was #2 departing LGA for JAX on taxiwa
20220819008489A	GLENDORA, MS: ^PRIVACY DATA OMITTED^, AT602, CRASHED IN A FIELD UNDER UNKNOWN CIRCUMSTANCES. L/L 33 50 28.3 N 90 18
20220710008409A	NARRITIVE:\nTHE PILOT LANDED ON A NON CERTIFIED GRASS RUNWAY WITH A LIGHT QUARTERING TAILWIND. MATURE CORN CROP SURR
20220818008439I	AT 10:35AM, 8/18/22, ^PRIVACY DATA OMITTED^ WAS TAXIING INTO ITS ASSIGNED GATE (D1) AT SEATAC AND WAS BEING MARSHAL
20220831008459I	PILOT HAD REFUELED THE AIRCRAFT (N4438) THE EVENING PRIOR TO THIS INCIDENT (8/30/2022) IN SALMON, ID (SMN) AND THEN
20220711008399A	NARRATIVE: \nNORMAL TAKEOFF FROM RUNwAY 06 AT DECATUR ILLINOIS (KDEC) TO THE NORTHEAST APROXIMATELY 0630 LOCAL TIME 
20220726008389A	WHEN:  07/26/2022, 1700Z\nWHERE:  KNOX, INDIANA\n\nA COMMERCIAL PILOT WAS OPERATING A SCHWEIZER AIRCRAFT CORPORATION G
20220711008429I	YOUNGSTOWN/WARREN, OH (YNG): N600VF, AEST, YNG-LPR, REPORTED A BIRD STRIKE (KILDAIRE) TO THE OUTER RIGHT WING ON UP
20220831008379I	on 08/31/2022 at approximately 2pm N707BL impacted a lawn mower at JNX.\nThe flight was operated as a 141 private le
20220624008519A	ON JUNE 24, 2022, AT APPROXIMATELY 0927 PDT, N915B, A BELL 206B, HELICOPTER EXPERIENCED A HARD LANDING WHILE DISPEN
20220501008569I	PILOT WAS CONDUCTING PRACTICE TAKE OFF AND LANDINGS AT F95 (CALHOUN COUNTY AIRPORT FL)  DURNG THE 7TH LANDING OF TH
20220522008549I	EXITED RIGHT SIDE OF RWY32 DURING TAKEOFF RESULTING IN LEFT MAIN LANDING GEAR COLLAPSE
20220710008529I	ON JULY 10, 2022, N3098K A AYRES CORPORATION, S2T-T34 AGRICULTURAL AIRCRAFT WAS INVOLVED IN AN INCIDENT WHEN THE PI
20200222002289A	ON FEBRUARY 22, 2020, ABOUT 1111 CENTRAL STANDARD TIME, A BEECH A36 AIRPLANE, N3266Q, WAS DESTROYED AFTER IMPACTING
20200217000649I	THE AIRPORT MANAGER STATED N214SA WAS "HIGH AND HOT" ON FINAL AND TOUCHED DOWN APPROXIMATELY HALF WAY DOWN RUNWAY 1
20220523008679A	ON MAY 23, 2022, AT APPROXIMATELY 1830 EASTERN STANDARD TIME, A REGISTERED AIRCRAFT, N47BP, A CESSNA 340, SERIAL NU
20200525001899I	ON MAY 25TH N4KK WAS CLEARED TO LAND RUNWAY 29 AT PENDLETON AIRPORT. AFTER TOUCHDOWN A WIND GUST CAUSED THE AIRCRAF
20200328003059I	PIC STATEMENT OF EVENTS:\n\nIT WAS A FUNCTION CHECK FLIGHT AFTER TAKING OWNERSHIP OF THE AIRCRAFT. \n\nI STARTED WITH A
20200318004009A	FROM NEIGHBORS SECURITY CAMERA VIDEO IT APPEARS THAT AS THE AIRCRAFT ROTATED IT WAS AT THE VERY LEFT EDGE OF THE GR
20200212004029A	THE AIRCRAFT DEPARTED BURBANK AT APPROXIMATELY 1745 PST.  IT WAS ORIGINALLY SCHEDULED TO DEPART AT 1430 PST, BUT TH
20200226004269A	ON 26FEB2020, AIRCRAFT REGISTERED AS N291RP PILOTED BY AIRMAN ^PRIVACY DATA OMITTED^ ^PRIVACY DATA OMITTED^ PRIVATE
20200620005879A	ON JUNE 20, ^PRIVACY DATA OMITTED^ DEPARTED KMOR FOR KPHF WITH A PASSENGER ON BOARD. ^PRIVACY DATA OMITTED^ ENCOUNT
20200601006649I	ON JUNE 1, 2015 AT APPROXIMATELY 1833 EDT, A CESSNA 172, N20332, LOST ENGINE POWER WHILE ON APPROACH TO THE TALLAHA
20200523007139I	ON 5/23/20 TWO AIRCRAFT WERE PARTIES TO A NMAC AT INDEPENDENCE AIRPORT (7S5).  THE RESULT OF N56642 MANEUVERING AFT
20200710007949A	AFTER LANDING AT CULPEPER AIRPORT (CJR), DURING ROLE OUT N8103C STARTED TO DRIFT TO THE LEFT OF RUNWAY CENTER LINE,
20200222009269I	AIRCRAFT SUFFERED MINOR DAMAGE TO LANDING GEAR COMPONENTS, AND STRUCK A RUNWAY LIGHT WHEN THE AIRCRAFT EXITED RUNWA
20220508008709I	ON MAY 8, 2022 AT 10:27AM CDT (15:27Z), 1977 BEECHCRAFT BE-F33A AIRCRAFT BEARING REGISTRATION NUMBER N17636, REGIST
20200731009912A	AIRCRAFT CONVERGED AT TIME AND COORDINATES GIVEN. THIS AIRCRAFT APPEARED TO BE IN A CRUISE-CLIMB AT A WESTERLY HEAD
20200604011039A	ON JUNE 4, 2020, AT 0955 CENTRAL DAYLIGHT TIME, A BEECHCRAFT A-23, N7941L, LOST TOTAL ENGINE POWER WHILE CRUISING A
20200929012269A	ON SEPTEMBER 29, 2020 AT APPROXIMATELY 7:40 PM EASTERN DAYLIGHT TIME (EDT), N79300, A C-172-K AIRCRAFT, REGISTERED 
20200916012389I	09/19/2020, AFTER CROSSING THE THRESHOLD ON RUNWAY 01R THE AIRCRAFT STRUCK A HAWK ON THE RIGHT SIDE OF THE AIRCRAFT
20200810013009I	PILOT WAS PRACTICING TOUCH AND GOES AND ON THE FIFTH TOUCH AND GO, HE FAILED TO PUT THE GEAR DOWN.
20200815013189A	THE AIRCRAFT WAS DEPARTING THE LISTED AIRPORT ON RUNWAY 17. THE PIC REQUESTED AND WAS CLEARED FOR A CLIMBING RIGHT 
20201109014819I	ON NOVEMBER 9TH, 2020 AT 1724 LOCAL TIME N839BA STRUCK A DEER WHILE LANDING ON RUNWAY 12 AT GARY/CHICAGO INTERNATIO
20220526008639A	AFTER LANDING ON RUNWAY 5 AT CRE THE STUDENT LIFTED THE HELICOPTER INTO A HOVER. A LOUD BANG WAS HEARD AND THE INST
20201025015089A	THE PILOT AND TWO PASSENGERS DEPARTED BAXLEY MUNICIPAL AIRPORT (KBHC) RUNWAY 26. AT APPROXIMATELY 600 FEET, A LOSS 
20200930015269A	PILOT STATED SHE DID A NORMAL 3 POINT LANDING.  AS SHE WAS SLOWING DOWN SHE HAD DIFFICULTIES KEEPING THE AIRCRAFT S
20200905016209A	THE AIRCRAFT RECEIVED SUBSTANTIAL DAMAGE DURING THE ACCIDENT SEQUENCE.  THE PILOT AND PASSENGER RECEIVED MINOR INJU
20201014016499I	AROUND 9:15 AM AS THE AIRCRAFT WAS CLIMBING THROUGH 1300 FT, 7MILES SOUTHWEST OF F45 AIRPORT, THERE WAS THE SOUND O
20200702018209A	FROM PIC:\nWX: CLEAR BELOW 12,000?, WINDS 160/07 (EARLIER AWOS HAD GUSTS UP TO 14 BUT NOT REPORTED PRIOR TO TAKEOFF)
20201008018699A	PILOT BECAME DISORIENTED (VERTIGO), AIRCRAFT ENTERED UNUSUAL ATTITUDE, PILOT INITIATED EMERGENCY CHUTE DEPLOYMENT, 
20201108018719I	DESCRIPTION:  ON 11/09/2020 AT 0118Z, N3265C WAS INBOUND FOR LANDING AT JYO AIRPORT.  DURING LANDING, THE AIRCRAFT 
20210205001189A	DURING A PREDATOR MITIGATION FLIGHT AND WHILE IN A HOVER THE PILOT MOVED TO LINE UP A SHOT ON A WOLF AND AT VERY LO
20210207001619I	ON 2 FEBRUARY 2021, AT 1750 ZULU (Z), 1050 MOUNTAIN STANDARD TIME(MST), N1188T, A PIPER-PA-28-180, DEPARTED CHANDLE
20220525008659I	AT APPROXIMATELY 1912 EDT ON MAY 25, 2022, N33LB EXPERIENCED A GEAR COLLAPSE ON RUNWAY 6 AT SPRUCE CREEK AIRPORT (P
20201018020329I	ACCORDING TO THE PILOT HE WAS ON A NORMAL APPROACH; TWO AIRPLANES LANDED AHEAD OF HIM. NEITHER ONE REPORTED ANY PRO
20200818021039I	ON AUGUST 18, 2020, AT APPROXIMATELY 09:00 EDT LOCAL TIME, A UAS FLIGHT WAS CONDUCTED BY 14CFR135 (1UPA) AIR CARRIE
20200911021109I	SHE WAS CONDUCTING AN INSURANCE INSPECTION OF A PROPERTY. THE A/C WAS POSITIONED IN CLOSE PROXIMITY TO THE HOUSE AN
20210325004469I	EON MESSAGE TEXT: CHARLESTON, SC (JZI): N5891J, BE35, LANDED ON RUNWAY 9 WITH THE LANDING GEAR RETRACTED. POB: 1, I
20210402005099I	OPERATOR WAS CRUISING AT 4500 FT WHEN THE ENGINE BEGAN RUNNING ROUGH. THE OPERATOR DECLARED AN EMERGENCY AND WAS VE
20200920021869A	AIRMAN ^PRIVACY DATA OMITTED^ STATED TO THIS INSPECTOR THE FOLLOWING IN A TELEPHONIC CONVERSATION 04/08/2021. THIS 
20220522008619I	STUDENT PILOT WITH A TOTAL EXPERIENCE OF APPROXIMATELY 47 HOURS. RELEASED TO SOLO AFTER THE PRE SOLO WRITTEN. \r\nSTU
20210727006919A	ON JULY 27, 2021 AT APPROXIMATELY 2140Z (1740L), A CESSNA 172, N73334, COLLIDED WITH FUEL TRUCK AT THE ECHO RAMP AR
20210501007639A	AIRCRAFT HIT TWO DEER WHILE CONDUCTING A NORMAL TAKEOFF.
20210529009409A	AIRCRAFT TOOK OFF FROM TALKEETNA TOWARDS  YAKUTAT, CLIMBING TO 12,500 AND VFR ON TOP OVER A CLOUD LAYER, THROUGH TH
20210523009959A	LINCOLN PARK, (N07) NJ 05/23/2021 AT APPROXIMATELY  2239Z , DURING LANDING ON RUNWAY 1 N16528, PA28, THE LEFT LANDI
20210525010049I	5/25/2021 - AUGUSTA, GA (AGS): N99SR, MU2, NOSE GEAR COLLAPSED WHILE PRACTICING SIMULATED SINGLE ENGINE LANDINGS ON
20210723011939A	PILOT AND 1 PASSENGER TOOK OFF FROM PRIVATE STRIP, XS53, NEAR PEASTER, TX ENROUTE TO BRIDGEPORT (KXBP) TO FILL AIRC
20210730012219A	DURING LANDING, THE AIRCRAFT LANDED LONG AND PORPOISED SEVERAL TIMES BEFORE HITTING A DITCH AT THE END OF THE RUNWA
20220414008699A	THIS AIRPLANE HAS A FUEL SYSTEM THAT WAS MODIFIED FROM ORIGINAL. WHILE PRACTICING TOUCH AND GO LANDINGS THE PILOT E
20210731012259A	ON 07/31/2021 AT APPROXIMATELY 1130 CST WHILE PRACTICING TAKE-OFF'S AND LANDINGS AT HARTFORD, WI. (HXF), A PIPER J3
20210818013819I	ATTEMPTING TO LAND THE  PILOT LOST CONTROL ON ROLL OUT AND THE AIRCRAFT DID A GROUND LOOP CAUSING DAMAGE TO THE RIG
20210819014459I	ON THE EVENING OF THURSDAY 8/19/21 AT 10PM WE WERE ON A FLIGHT FROM MVY TO LWM IN N197DX A FALCON 2000LX.  I, ^PRIV
20211006017769A	THE PILOT STATED: ON THE AFTERNOON OF OCTOBER 6TH, 2021 I, ^PRIVACY DATA OMITTED^WAS OPERATING A BELL 206B III HELI
20210825014739I	DURING THE TAKE OFF ROLL, THE PILOT STATED THE AIRCRAFT BEGAN FEELING LIGHT AND AS HE INITIATED LIFTOFF THE AIRCRAF
20210904016519A	AIRCRAFT LANDED ON BEACH IN BOUSSOLE BAY, FROM NW TO SE DIRECTION, WITH A LEFT CROSSWIND (LAND BREEZE). COMBINATION
20211107018979A	THE PILOT STARTED HIS TAKEOFF WITH A LIGHT CROSSWIND. DURING TAKEOFF ROLL HIS PILOT RATED PASSENGER OBSERVED THAT T
20211109019819I	ON NOVEMBER 09, 2021 AT APPROXIMATELY 1136 CENTRAL STANDARD TIME, WHILE LANDING AT NORTH TEXAS REGIONAL AIRPORT (GY
20220126001099I	AIRPORT MANAGER STATEMENT:\nTHE AIRPORT MANAGER: HAPPENED AT KARW WED. EARLY AFTERNOON - 2 PM ISH - AIRCRAFT (GRUMMA
20220613004279I	DURING AN INSTRUCTIONAL FLIGHT THE CFI ATTEMPTED TO LAND AT KIWA 30C IN HEAVY CROSSWIND 17G21 AND WAS UNABLE MAINTA
20220404004539I	2022-04-19 ? N2626Z ? NOSE WHEEL FELL OFF DURING LANDING ? KANE ? MINOR DAMAGE, NO INJURIES\n\nDESCRIPTION: THE PURPO
20220426008719I	ON AUGUST 26, 2022, AT APPROXIMATELY 1155 CST, A PIPER ARROW II, N6878J, WAS PERFORMING PATTERN WORK AT KINGFISHER 
20220405004989A	N371M LEFT FROM 22N, LEHIGHTON, PA ON APRIL 5, 2022.  UPON LANDING AT IDI, INDIANA, PA, ^PRIVACY DATA OMITTED^ THE 
20220516007329I	ON MAY 16, 2022, AT 1430 MST, A PIPER PA-28, N6252W, REGISTERED TO N6252W LLC, RAN OUT OF FUEL AND MADE AN EMERGENC
20220713007529A	THE AIRCRAFT FLIPPED OVER ON AN OFF AIRPORT LANDING WITH ONE PASSENGER ON BOARD.  BOTH OCCUPANTS SUSTAINED NO INJUR
20220805008779A	PILOT STATED HE HAD TO MAKE AN ABRUPT MANEUVER TO AVOID AIRCRAFT THAT WERE ON FINAL AT JOHNSON CREEK (3U2) HE HIT A
20220804008809I	AIRCRAFT TOOK OFF AND PILOT RAISED GEAR HANDLE.  GEAR DID NOT LOCK UP.  GEAR HANDLE WAS CYCLE UP SEVERAL TIMES BUT 
20220524008759I	AIRCRAFT DEPARTED CVG RUNWAY 27 AND THE LEFT OUTBOARD MAIN LANDING GEAR TIRE FAILED DURING TAKE OFF.  TAKEOFF WEIGH
20220601008849A	ON JUNE 1, 2022, AT APPROXIMATELY 2015 LOCAL TIME A CAMERON Z90 LP GAS HOT AIR MANNED BALLOON FLOATED INTO A ^PRIVA
20220528008769A	PILOT STATED HE WAS REPOSITIONING NEWLY PURCHASED SUPER CUB AND LANDED AT GULKANA FOR FUEL. WINDS WERE A CROSSWIND 
20220701008799I	INSTRUCTOR AND STUDENT BEGAN FLIGHT WITH WINDS 190 @ 11KTS USING RUNWAY 12L.  AFTER THREE LANDINGS INSTRUCTOR SENT 
20220813008789I	DURING SECOND TOUCH AND GO ATTEMPT OF AN INSTRUCTIONAL FLIGHT, THE PILOT BOUNCED THE AIRCRAFT ON LANDING. A GA WAS 
20220201008879A	PILOT LANDED NEWARK HEATH AIRPORT (KVTA) ON RUNWAY 09. WITNESS NOTED AIRCRAFT CONDUCTED A HARD TOUCH AND GO LANDING
20220402008749A	ON APRIL 2, 2022, N727DF, A GLASAIR II, UNDER VFR CONDITIONS LANDED AT THE SALINE VALLEY AIRPORT (CHICKEN STRIP), C
20220108008869I	AT 1313 LOCAL TIME ON JANUARY 8, 2022, 521AM WAS LANDING ON RUNWAY 24 AT KPOU.  THE AIRCRAFT TOUCHED DOWN JUST PAST
20220212008889A	NARRATIVE:\nSTUDENT PILOT ARRIVED AT AIRPORT AT 4:40 P.M., RECEIVED FLIGHT FOLDER AND SPOKE TO INSTRUCTOR. FLIGHT PL
20200218000199A	AT APPROXIMATELY 19:15 PST, THE PILOT WAS PERFORMING AN AERIAL APPLICATION AT ALAMITOS 6 B. PILOT HAD A FINAL LOAD 
20220421008939A	PRIVATE PILOT RATED IN AIRPLANE SINGLE ENGINE LAND ONLY WAS REPORTEDLY GIVING FLIGHT INSTRUCTION IN A MULTI-ENGINE 
