c5	remark
20000526005919A	(.23) A/C LANDED APPROX. 200' SHORT OF RUNWAY 30 AT THIS AIRPORT. (.4)ON MAY 26, 2000, ABOUT 1800 EASTERN DAYLIGHT TIME, A HAYS LONG-EZ, N9JZ, REGISTERED TO A PRIVATE INDIVIDUAL, OPERATING AS A TITLE 14 CFR PART 91 PERSONAL FLIGHT, CRASHED IN THE VICINITY OF COLLEGEDALE, TENNESSEE. VISUAL METEOROLOGICAL CONDITIONS PREVAILED AND NO FLIGHT PLAN WAS FILED. THE AIRPLANE SUSTAINED SUBSTANTIAL DAMAGE AND THE PRIVATE-RATED PILOT AND PRIVATE-RATED PASSENGER WERE NOT INJURED. THE FLIGHT ORIGINATED ABOUT 10 MINUTES BEFORE THE ACCIDENT. ACCORDING TO THE PILOT, HE JUST BOUGHT THE AIRPLANE, AND AFTER ABOUT 2 HOURS OF IN-FLIGHT FAMILIARIZATION, TWO DEMONSTRATED LANDINGS BY THE FRONT SEATED DELIVERY PILOT, AND TWO LANDINGS CONDUCTED BY HIMSELF FROM THE BACK SEAT, HE AND THE DELIVERY PILOT PERFORMED A FULL-STOP LANDING AND SWITCHED SEATS. THE PILOT STATED THE ACCIDENT HAPPENED AS A RESULT OF GETTING TOO LOW ON FINAL APPROACH WITH SPEED BRAKE DEPLOYED, AND NOT BEING FAMILIAR ENOUGH WITH ITS COCKPIT CONTROL LOCATION AND OPERATION TO RETRACT THEM IN A TIMELY MANNER. ACCORDING TO AN FAA INSPECTOR, THE PILOT STATED HE ELECTED TO DEPLOY THE SPEED BRAKE TO HELP SLOW THE AIRPLANE PRIOR TO LANDING         , AND THE ADJUSTMENT TOOK EFFECT SO QUICKLY THAT HE FOUND HIMSELF IN A LOW AND SLOW CONDITION THAT FULL POWER DID NOT HELP. THE RESULT WAS THAT THE AIRPLANE LANDED ABOUT 200 FEET SHORT OF THE RUNWAY. THE SPEED BRAKE HANDLE IS INSTALLED IN THE FRONT SEAT ONLY, AND ALL LANDINGS PRIOR TO THE ACCIDENT WERE CONDUCTED USING THE SPEED BRAKE.
20000526006299A	ON MAY 26, 2000, AT APPROX. 4:30 PM, A CESSNA A188B OWNED AND OPERATE D BY^PRIVACY DATA OM^RECEIVED SUBSTANTIAL DAMAGE DURING TAKEOFF FROM A PRIVATE AIRSTRIP APPROX. 9 MILES NE OF SUBLETE, KANSAS. THE PART 137 FLIGHT WAS CONDUCTED UNDER VFR CONDITIONS AND NO FLIGHT PLAN WAS FILED. THE A/C RECEIVED DAMAGE TO BOTH WINGS, FUSELAGE, LANDING GEAR AND EMPENNAGE. THE COMMERCIAL PILOT WAS NOT INJURED. ACCORDING TO THE PILOT, THE TAKEOFF ROLL WAS NORMAL UNTIL APPROX. .4 MILE DOWN THE NARROW RUNWAY. HE SAID THAT RUTS CAUSED THE A/C TO VEER TO THE LEFT AND THE A/C LEFT WING CONTACTED THE WHEAT AND PULLED THE A/C INTO THE WHEAT FIELD. THIS REPORT CLOSED THIS ACCIDENT.      (.4) ON MAY 26, 2000, AT 1600 CENTRAL DAYLIGHT TIME, A CESSNA A188B, N9076R, PILOTED BY A COMMERCIAL PILOT WAS SUBSTANTIALLY DAMAGED DURING TAKEOFF FROM A PRIVATE FIELD, NEAR SUBLETTE KANSAS.  VISUAL METEOROLOGICAL CONDITIONS PREVAILED AT THE TIME OF THE ACCIDENT.  THE 14 CFR PART 137 FLIGHT WAS NOT OPERATING UNDER A FLIGHT PLAN.  THE PILOT REPORTED NO INJURIES.  THE LOCAL AERIAL APPLICATION FLIGHT WAS ORIGINATING AT THE TIME OF THE ACCIDENT. THE PILOT, IN A WRITTEN STATEMENT, SAID "THE PLANE WAS ABOUT READY FOR LIFT        OFF WHEN I HIT A RUT CAUSING THE PLANE TO PULL SHARPLY TO THE LEFT. I PULLED BACK ON THE STICK TO LIFT OFF, BUT AT THE SAME TIME THE LEFT BOOM HIT THE WHEAT, CAUSING THE PLANE TO ROTATE APPROX. 1 1/2 TURNS COUNTER CLOCKWISE JUST ABOVE THE WHEAT. THE PLANE TRAVELED APPROX. 400 FEET THROUGH THE AIR, HITTING TAIL SECTION FIRST (THE ENGINE STILL RUNNING FULL R.P.M.'S I IMMEDIATELY PULLED THE MIXTURE AND SHUT DOWN THE ENGINE. THERE WAS NO PROP STRIKE, NO INJURIES TO PILOT BUT MAJOR DAMAGE TO THE AIRCRAFT." THE PILOT LATER STATED, "PROBABLE CAUSE OF ACCIDENT: PILOT ASSUMED TOO MUCH; NEEDED TO CHECK THINGS OUT BETTER, ESPECIALLY THE RUNWAY. PROBABLE CAUSE OF ACCIDENT DUE TO PILOT ERROR."
20000526010719A	(-23) ON APPROACH TO LANDING RUNWAY 28L BOISE ACT ADVISED PILOT THAT HIS RIGHT MAIN GEAR WAS NOT DOWN. THE PILOT LEFT THE TRAFFIC PATTTERN AND WENT SOUTH OF THE AIRPORT AND WENT THROUGH THE EMERGENCY GEAR EXTENSION PROCEDURES AS IS OUTLINED IN THE CESSNA A/C MANUAL. ON RETURNING TO THE TRAFFIC PATTERN THE PILOT WAS INFORMED BY THE ATCT THAT THE RIGHT MAIN GEAR WAS NOT DOWN. THE PILOT REQUESTED THE EMERGENCY EQUIPMENT AND ELECTED TO LAND WITH THE RIGHT GEAR RETRACTED. ON THE LANDING THE A/C AND 180 DEGREES AND ENDED UP IN THE FIELD BETWEEN RUNWAYS 28L AND 28R. SUBSTANTIAL DAMAGE WAS ISOLATED TO THE HORIZONTAL STABILIZER. THE PILOT WAS NOT INJURED AND THERE WAS NO POST ACCIDENT FIRE.
20000526012919A	(-23) ON THE TOUCH DOWN OF WHAT APPEARED TO BE A TOUCH AND GO LANDING, A WITNESS STATED THAT THE GYROPLANE DID A SEVERE "YAW JERK" WHEN THE NOSE TIRE TOUCHED DOWN. THE PILOT SAID ON TOUCHDOWN HE FELT A SEVERE VIBRATION.  THE WITNESS HEARD POWER BEING ADDED.  THE NOSE WHEEL LIFTED OF THE GROUND AND THE ROTOR BLADES IMPACTED THE GROUND AFT TO THE HYDROPLANE.  THE HYDROPLANE THEN DID A SEMI "CARTWHEEL" OFF OF THE RUNWAY.  THE AIRCRAFT CAME TO A REST ON ITS SIDE WITH THE TAIL BOOM TUBING BROKEN.  THE PILO WAS NOT INJURED.
20000526013359A	(-23) BALLON WAS TETHERED WITHA THREE POINT 3/4" ROPE HARNESS, ANCHORRED ON THE UPWIND SIDES TO SOLID TREES AND ON THE DOWNWIND SIDE TO A TRUCK. AS THE FOUR PASSENGERS BOARDED, THE BALLON WAS SUDDENLY LAUNCHED BY "FALSE LIFT", WAS THROWN OUT OF THE HARNESS ABOUT 80 FEET.  PILOT INITATED VENT TOP EMERGENCY RIP-OUT PROCEDURES UNSUCCESSFULLY.  BOTH UPWIND TETHER LINES SNAPPED, 30 SECONDS LATER THE DOWNWIND TETHER SNAPPED INITIATING FREE FLIGHT OF THE BALLON.  PILOT STABILIZED THE BALLON ENOUGH TO INITIATE AN EMERGENCY LANDING.  THE BALLON IMPACTED THE TREES ABOUT 1/8 MILE DOWNWIND OF ORIGINAL TETHER SITE.  DAMAGE TO THE BASKET WAS SUBSTANTIAL WIHT TWO OF THE RIGID UPRIGHTS HAVING SNAPPED.
20000526016199I	(-23) PILOT ^PRIVACY DATA ^ WAS LANDING ON RUNWAY 24 AT THE SIERRA BLANCA NM AIRPORT AT APPROXIMATELY 1200 ON MAY 26TH, 2000 WHEN HE LOST CONTROL OF AIRCRAFT N455TG, A PZLM18B AND THE NOSE OF THE AIRCRAFT PITCHED OVER AND THE PROPELLER STRUCK THE GROUND. THERE WAS NO OTHER DAMAGE TO THE AIRCRAFT OR APPLIANCES.  THE PILOT WAS NOT INJURIED.  THE PILOT STATED THAT THE WINDS WERE VARIABLE ALL DAY LONG.
20000526017039I	(-23)THE PILOT OF CESSNA 185 AIRCRAFT, N694BK, OPERATING UNDER FAR 91 FLIGTH RULES, REPROTED UNUSUAL ENGINE NOISES AND LOW OIL PRESSURE APPROXIMATELY 15 MINTUES AFTER DEPARTING (BNO), BURNS, OREGON. HE HAD JUST REQUESTED VFR FLIGHT FOLLOWING FROM SALT LAKE, (ARTCC), A 9500 FT. MSL, BEFORE REPORTING BACK TO THEM THAT HE WAS HAVING ENGINE PROBLEMS AND RETURNING TO (BNO).  HE MADE AN EMERGNECY LANDING ON A DIRT ROAD AT THE HELL AND GONE RANCH, LOCATED APPROXIMATELY 25 MILES NORTH OF (BNO).  THE AICRRAFT RECEIVED NO DAMAGE DURING LANDING AND AN ENGINE TEAR DOWN AT THIS POINT REVEALS A BROKEN CRANKSHAFT ALONG WITH INTERNAL DAMAGE TO NUMBER 1 PISTON AND CYLINDER ASSEMBLY.  A MALFUCTION OR DEFECT REPORT, FAA FORM 8010-4, WILL FOLLOW.
20000526017629I	(-23) ON 05/26/2000 PILTO IN COMMAND LANDED N70200 ON FLOATS AT BELUGA LAKE IN HOMER AK. GUSTY WIND CONDITIONS PREVAILED.  SURING THE TAXI TO SHORE, PILOT IN COMMAND HAD AIRCRAFT IN A PLOW CONFIGURATION AND ABRUPTLY PULLED THE POWER OFF AND WHEN THE TAIL RAISED, THE WIND GOT UNDER THE TAIL AND FLIPPED THE AIRCRAFT OVER.  NO INJURIES OCCURED TO THE PILOT OR PASSENGERS.  COUNDELING WILL BE GIVEN ON PROPER TAXI PROCEDURES FOR A FLOAT EQUIPED AIRCRAFT IN HIGH WIND CONDITIONS AND PILOT IN COMMAND WILL BE REQESTED TO GET A BI-ANNUAL FLIGHT REVIEW.  WITH THE SUCESSFUL COMPLETION OF THE FLIGHT REVIE W A LETTER OF CORRECTION WILL BE ISSUED.
20000526018069I	(-23)ON MAY 26, 2000, AT 1530, PSA AIRLINES (VNAA) FLIGHT NUMBER 4014, OPERATING A DO-328 REGISTERED AS N431JS, RETURNED TO LAND AT PITTSBURGH AIRPORT (PIT) AFTER REPORTING A HYDRAULIC PORBLEM. MAINTENANCE INSPECTED AND REPLACED THE MAIN HYDRAULIC PUMP IN ACCORDANCE WITH MAINTNEANCE MANUAL 29-11-08.  OPERATIONAL CHECKS WERE DONE AND THE AIRCRAFT WAS RELEASED FOR SERVICE.
20000526018159I	(-23)AIRCRAFT DEPARTING RY19L HAD THE GEAR COLLAPSE. THE AIRCRAFT SKIDDED SOWN THE RUNWAY AND CAME TO STOP ON THE RIGHT SIDE OF TWY ALPHA TWO.  NO INJURIES TO OCCUPANTS.
20000526019889I	(-23) ON MAY 26, 2000, A CONVAIR 440, N24DR, DEPARTED EL PASO, TEXAS ON AN IFR FLIGHT PLAN UNDER VFR CONDITIONS ENROUTE TO ONTARIO, CALIFORNIA. DURING THE FLIGHT THE RIGHT ENGINE EXPERIENCED LOSS OF MANIFOLD PRESSURE, WITH FUEL PRESSURE INDICATIONS NORMAL. THE PILOT DECLARED AN EMERGENCY, FEATHERED THE PROPELLER AND SHUT DOWN THE ENGINE. THE PILOT SAID THAT APPROACH CONTROL RECOMMENDED PALM SPRING AIRPORT IN PALM SPRINGS, CALIFORNIA, AS AN ALTERNATE LANDING PLACE AND A SAFE LANDING WAS MADE WITHOUT INCIDENT. THE ENGINE WAS REMOVED AND SENT TO STOCKTON, CALIFORNIA FOR REPLACEMENT OF THE INTERNAL SUPERCHARGER IMPELLER SHAFT. THE ENGINE WAS REINSTALLED AND PAPERWORK COMPLETED ON JUNE 16, 2000. THIS INCIDENT IS CONSIDERED CLOSED.
20000526020469I	(-23) PILOT LOST CONTROL ON LANDING. AIRCRAFT WENT OFF THE RUNWAY INTO SOFT DIRT CAUSING THE LEFT MAIN LANDING GEAR TO FAIL.
20000526026239I	(-23) ON MAY 26, 2000 THE PILOT OF N200BW A BE-35-S35 AND TWO PASSENGERS DEPARTED LA VERN, BRACKETT FIELD (POC). AFTER DEPARTURE, THE PILOT ATTEMPTED TO RETRACT THE LANDING GEAR, BUT THE LANDING GEAR FAILED TO RETRACT (GEAR DOWN LIGHT STAYED ILLUMINATED) THE PILOT MADE A REQUEST TO POC TO REMAIN IN THE TRAFFIC PATTERN. WHILE IN THE TRAFFIC PATTERN, THE PILOT PUT THE LANDING GEAR HANDLE IN THE DOWN POSITION (GEAR DOWN LIGHT STAYED ILLUMINATED). A FULL STOP LANDING WAS MADE WITHOUT INCIDENT. THE PILOT HAD REPAIR WORK DONE ON N220BW AT SAN BERNARDINO INTERNATIONAL (SBD) IN ORDER TO CORRECT THE PROBLEM. GEAR SYSTEM WAS FOUND TO BE WORKING PROPERLY. AFTER THE WORK ON N200BW WAS COMPLETED, THE PILOT FLEW N200BW FROM SBD TO POC. WHILE PREPARING FOR LANDING AT POC, THE PILOT PUT THE LANDING GEAR IN THE DOWN POSITION (GEAR DOWN LIGHT ILLUMINATED). N200BW TOUCHED DOWN ON RUNWAY 26 LEFT AND AS THE A/C TURNED OFF THE RUNWAY THE LEFT MAIN LANDING GEAR COLLAPSED. THERE WERE NO INJURIES.
20000526035169I	(-23)ON MAY 26, 2000, N4628C DEPARTED RUNWAY 22, CULPEPER, VA (W49) ON A PERSONAL FLIGHT SUBSEQUENT TO MAINTENANCE HAVING BEEN PERFORMED ON THE FUEL SELECTOR VALVE. DURING CLIMBOUT, AT APPROXIMATELY 900 FEET MSL, THE ENGINE QUIT DUE TO DUEL STARVATION.  THE AIRCRAFT LANDED IN A "RECENTLY CUT HAYFIELD".  THE PILOT REPORTED THAT DURING HIS PREFLIGHT HE MISREAD HIS FUEL GAUAGES, STATING THE INDICATOR NEEDLE PARTIALL COVERED THE "E", WHICH CAUSED HIM TO READ "F".
20000526035669I	(-23)ON MAY 26, 2000, AT 2200 HOURS, A CESSNA 320F, OWNED AND OPERATED BY ^PRIVACY DATA OMIT^, IMPACTED THE RUNWAY. ACCORDING TO THE PILOT, THE AIRCRAFT MAY HAVE ENCOUNTERED TURBULENCE DURING THE LANDING PHASE OF FLIGHT.  VFR FLIGHT CONDITIONS PREVAILED.  THE AIRCRAFT SUSTAINED DAMAGE TO RIGHT WING TIP AND PROPS.  NO INJURIES WERE SUSTAINED BY PILOT OR PASSENGERS.
20000526038029I	(-23) PILOT DEVIATION OCCURRED ON 05-26-2000, NEAR LANCASTER, PA. ATC ISSUED A TURN TO AFR6437 TO SEPARATE AIRCRAFT. AFR6437 DID NOT ANSWER THE FIRST REQUEST BUT RESPONED TO ATC ON THE SECOND RADIO CALL ACCORDING TO THE ATC CONTROLLER'S STATEMENT. THE CONTROLLER NOTED THAT AFR6437 DID NOT BEGIN TURN SOON ENOUGH. THREE AIRCRAFT AFR647, EGF933 AND NWA807 ALL CONDUCTED RA RESOLUTION MANUEVERS. INSPECTOR CHANDLER CALL THE POI OF AIR FRANCE FOR ASSISTANCE AND RECEIVED NONE. ATC DID NOT SUPPLY ANY FURNTHER INSORMATION EXCEPT FAXED COPIES OF CONTROLLERS STATEMENT. NO RADAR TRACKS WERE PROVIDED. SEE ATTACHED SHEET.
20000526039259A	(-23)ON CLIMB-OUT THE A/C APPEARED TO GO OUT OF CONTROL CRASHING INVERTED INTO TREES AND BURNING ON IMPACT.
20000526039449A	(4) ON MAY 26, 2000, ABOUT 1035 EASTERN DAYLIGHT TIME, A DE HAVILLAND DH-82A "TIGER MOTH," N8872, WAS SUBSTANTIALLY DAMAGED WHILE LANDING AT THE PITTSFIELD MUNICIPAL AIRPORT, PITTSFIELD, MAINE. THE CERTIFICATED PRIVATE PILOT AND PASSENGER WERE NOT INJURED.  VISUAL METEOROLOGICAL CONDITIONS PREVAILED AND NO FLIGHT PLAN WAS FILED FOR THE PERSONAL LOCAL FLIGHT CONDUCTED UNDER 14 CFR PART 91.                                                          ACCORDING TO THE PILOT, THE AIRPLANE TOUCHED DOWN NORMALLY IN A GRASS AREA PARALLEL TO RUNWAY 19.  DURING THE ROLLOUT, THE AIRPLANE PROCEEDED OVER A "SOFT SPOT," NOSED OVER, AND CAME TO REST INVERTED.                         THE WINDS REPORTED AT AN AIRPORT LOCATED 23 MILES TO THE EAST AT 1053, WERE 260 DEGREES AT 10 KNOTS.                                                  (-23) UPON ROLL OUT IN THE GRASS, AIRCRAFT SANK IN SOFT SPOT AND SLOWLY ROLLED OVER ON ITS BACK. ONE PAX. NO INJURIES. AIRCRAFT SUSTAINED DAMAGE TO PROPELLER AND RUDDER SUBSTANTIALLY DAMAGED.
20000526041199A	(-23)ON MAY 26, 2000, APPROXIMATELY 1515 MDT, A CESSNA T210K, N9457M, WAS DESTROYED WHEN IT IMPACTED TERRAIN IN COTTONWOOD PASS, NEAR BUENA VISTA, CO.  THE NON-INSTRUMENT RATED PRIVATE PILOT AND HIS TWO PASSENGERS WERE FATALLY INJURED,  THE AIRPLANE WAS BEING OPERATED UNDER TITLE 14 CFR PART 91.  METEOROLOGICAL CONDITIONS WERE UNKNOW AT THE ACCIDENT SITE AT THE TIME OF THE ACCIDENT.  THE CROSS-COUNTRY PERSONAL FLIGHT ORIGINATED FROM HEFFCO AIRPORT (BJC), COLORADO, UTAH, AS THE DESTINATION.  THE FAA REPRTED THE AIRPLANE MISSING AT 1700 HOURS ON MAY 26, SEARCH AND RESCUE PERSONNEL LOCATED THE WRECKAGE AT 0900 HOURS ON MAY 27, 2000.
20000526043549A	(-23) ON MAY 26, 2000, AT ABOUT 09:00 EASTERN DAYLIGHT TIME, AN AVIAT PITTS S-2A WAS SUBSTANTIALLY DAMAGED WHILE LANDING AT THE HAMMONTON MUNICIPAL AIRPORT, HAMMONTON, NJ. THE CERTIFICATED PRIVATE PILOT AND A PASSENGER WERE NOT INJURED. VISUAL METEOROLOGICAL CONDITIONS PREVAILED AND NO FLIGHT PLAN HAD BEEN FILED FOR THE FLIGHT THAT DEPARTED THE CROSS KEYS AIRPORT, CROSS KEYS, NJ. THE PERSONAL FLIGHT WAS CONDUCTED UNDER 14 CFR, PART 91. THE AIRPLANE WAS LANDING ON RUNWAY 21, A 3,600 FT. LONG, 75 FOOT WIDE, ASPHALT RUNWAY. ACCORDING TO THE PILOT, THE AIRPLANE VEERED LEFT DURING THE LANDING ROLL AND HE ATTEMPTED TO APPLY RIGHT RUDDER TO CORRECT; HOWEVER, THE AIRPLANE DEPARTED THE LEFT SIDE OF THE RUNWAY. THE AIRPLANE'S LEFT WING CONTACTED THE GROUND AND THE AIRPLANE FLIPPED OVER. THE PILOT STATED HE EXPERIENCED NO MECHANICAL PROBLEMS WITH THE AIRPLANE. WINDS REPORTED AT AN AIRPORT ABOUT 17 MILES SOUTH-SOUTHEAST OF THE ACCIDENT SITE, AT 0854, WERE FROM 290 DEGREES AT 13 KNOTS.
20000527004669A	PIC REPORTED LOST POWER DURING TAKEOFF FROM A PRIVATE STRIP ON FORT WALTON BEACH, FL. HIS INTENT WAS TO FLY TWO PASSENGERS ON A SIGHT-SEEING FLIGHT OVER THE GULF OF MEXICO. THE PIC MADE AN EMERGENCY LANDING, IN THE GULF, JUST BEHIND THE GULFARIUM (OFF HWY 98 EAST). THE AIRCRAFT WAS REMOVED FROM THE GULF AND TAKEN TO DESTIN AIRPORT. FUEL SAMPLES WERE TAKEN AND DAMAGE ASSESSMENT WAS MADE. CAUSE OF ENGINE FAILURE STILL UNDER INVESTIGATION. (.4) THE PILOT STATED THAT AFTER TAKEOFF CLIMBING THROUGH APPROXIMATELY 300 FEET, THE ENGINE EXPERIENCED A LOSS OF POWER. HE MANEUVERED THE HELICOPTER TOWARDS THE BEACH AND LANDED ABOUT 20 YARDS OFFSHORE. NO FUEL CONTAMINATION WAS NOTED IN THE FUEL TANKS THAT CONTAINED SUFFICIENT FUEL. A SLIGHT AMOUNT OF SAND/SILT WAS NOTED IN THE FUEL STRAINER; THE CARBURETOR BOWL CONTAINED ABOUT A PINT OF WATER ADMIXED WITH SAND OR SILT. THE LEFT FUEL TANK VENT LINE AND VENT LINE 'B' NUT WERE DAMAGED. EXAMINATION OF THE ENGINE REVEALED VALVE TRAIN CONTINUITY OF ALL CYLINDERS. DURING AN ATTEMPT TO START THE ENGINE; THE MAGNETOS WOULD NOT PRODUCING SPARK. EXAMINATION OF THE CARBURETOR REVEALED INTERNAL CORROSION; NO PREIMPACT FAILURE OR MALFUNCTION WAS NOTE         D. EXAMINATION OF BOTH MAGNETOS REVEALED INTERNAL CORROSION. THE POINTS OF BOTH MAGNETOS WERE LIGHTLY DRESSED AND HIGH TENSION TESTED; BOTH MAGNETOS PRODUCED SPARK. ONE IGNITION LEAD OF THE LEFT MAGNETO WAS NOT FIRING DUE TO CORROSION ON ONE OF THE ELECTRODES; THE CORROSION WAS CLEANED AND THE MAGNETO FIRED ALL OF THE IGNITION LEADS. ADDITIONALLY, THE CONDENSER OF THE RIGHT MAGNETO TESTED BAD.
20000527004909A	(-23) THE PILOT BEGAN EXPERIENCING ENGINE TROUBLE OVER K00. ONE MAGNETO WAS OUT AND APPARENTLY HAD FOULED THE PLUGS. TURNED BACK TO THE NEAREST (K00) AND FLEW OVER THE FIELD AT ABOUT 2500 FT. WHERE EVERYTHING LOOKED NORMAL. SET UP FOR A LANDING AND ON SHORT FINAL NOTICED THAT THE RUNWAY HAD BEEN PLOWED. HE TRIED TO LAND WITH A WHEEL ON EACH SIDE OF THE FURROW. AT ABOUT 40 MPH THE 1/H MAIN GEAR IMPACTED THE DIRT AND THE A/C VEERED TO THE LEFT. IT THEN IMPACTED THE FENCE, AND CAME TO A STOP IN AN UPRIGHT POSITION.
20000527007419A	(-23) PILOT STATES THAT AFTER TAKING ON 22.3 GALLONS OF FUEL AT MLJ, ATTEMPTED TAKE OFF AND AIRCRAFT SEEMED TO BE HEAVY TO GAIN ENOUGH ALTITUDE TO CLIMB ABOVE THE TREES OFF THE END OF THE RUNWAY. IT SEEMS AS IF THE DENSITY ALTITUDE MAY HAVE BEEN A FACTOR.
20000527007549A	(-23) ON MAY 27, 2000, AT 1545Z (11:45 LOCAL) A ROWDON T-1, N2706D DEPARTED NORTH PERRY AIRPORT TO CONDUCT AERIAL BANNER TOW. AFTER APPROXIMATELY ONE HOUR OF FLYING, AIRCRAFT EXPERIENCED ENGINE FAILURE OVER THE OLETA STATE RECREATION AREA. AFTER BANNER RELEASE, THE PILOT COMPLETED AN EMERGENCY LANDING IN AN OPEN FIELD AT THIS PARK. DURING LANDING ROLL OUT NORTH BOUND ON ACCESS ROAD, PILOT STEERED RIGHT TO AVOID A SOUTH BOUND BICYCLE. LEFT WING STRUCK A SMALL TREE CAUSING MINOR DAMAGE TO LEADING EDGE NOSE SKIN, NOSE RIBS. NO INJURIES TO PILOT OR CYCLIST. (.4)ON MAY 27, 2000, ABOUT 1145 EASTERN DAYLIGHT TIME, A RAWDON T1, N2706D, REGISTERED TO AND OPERATED BY AERIAL SIGN COMPANY, INC., EXPERIENCED A LOSS OF ENGINE POWER AND COLLIDED WITH TREES DURING A FORCED LANDING IN A STATE PARK NEAR NORTH MIAMI BEACH, FLORIDA. VISUAL METEOROLOGICAL CONDITIONS PREVAILED AT THE TIME AND NO FLIGHT PLAN WAS FILED FOR THE 14 CFR PART 91 BANNER TOWING FLIGHT. THE AIRPLANE WAS SUBSTANTIALLY DAMAGED AND THE COMMERCIAL-RATED PILOT, THE SOLE OCCUPANT, WAS NOT INJURED. THE FLIGHT ORIGINATED ABOUT 1015, FROM THE NORTH PERRY AIRPORT, HOLLYWOOD, FLORIDA. THE PILOT STATE                                        D STATED THAT DURING THE FLIGHT, THE ENGINE BEGAN SURGING. HE TURNED ON BOTH AUXILIARY FUEL PUMPS AND TANKS, DROPPED THE BANNER, AND MADE A PRECAUTIONARY LANDING IN AN OPEN FIELD. DURING THE LANDING ROLL HE MANEUVERED THE AIRPLANE TO AVOID PEDESTRIANS AND THE LEFT WING COLLIDED WITH A TREE DAMAGING THREE RIBS. POSTACCIDENT EXAMINATION OF THE AIRPLANE REVEALED APPROXIMATELY 9 GALLONS OF FUEL IN THE RIGHT FUEL TANK, NO FUEL IN THE LEFT FUEL TANK, AND BOTH FUEL TANK SELECTOR VALVES ON.   FOLLOWING REPAIRS TO THE LEFT WING OF THE AIRPLANE (NO WORK WAS PERFORMED TO THE ENGINE), THE ENGINE WAS STARTED AND OPERATED TO FULL STATIC RPM; NO DISCREPANCIES WERE NOTED. ADDITIONALLY, THE LEFT FUEL GAUGE WAS NOT INDICATING EMPTY WITH AN EMPTY FUEL TANK; IT WAS INDICATING NEAR MIDPOINT OF THE "NO TAKEOFF" ARC, WHICH IS POSITIONED BETWEEN EMPTY AND JUST BELOW 1/4 INDICATION.
20000527008069A	(-23) THE PILOT MADE AN EMERGENCY LANDING IN A FIELD AFTER ENGIEN LOSS POWER ON TAKEOFF CAUSING DAMAGE TO THE FUSELAGE, TAIL SECTION AND LANDING GEAR.
20000527008139A	(-23) A/C COLLIDED DURING THE PERFORMANCE OF LOW LEVEL FORMATION AEROBATICS.
20000527009209A	(-23)AIRCRAFT COLLIDED DURING THE PERFORMANCE OF LOW LEVEL FORMATION AEROBATICS.
20000527011699A	(-23)INSTRUCTOR WAS GIVING PATTERN TRAINING; ON 5TH LOW LEVEL PASS, INITIATED CLIMB, ENGINE LOST PARTIAL POWER AND INSTRUCTOR CRASHED IN LOT OFF FIELD.
